"Document commercial","Date chargement","Code article","Désignation","Quantité","Numéro lot","DLUO","Poids net",
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446623,MINIBABY F5 100GX12,315,EV2812D,15/06/21,378,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,117,EV2801D,15/06/21,374.4,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,117,EV2801D,15/06/21,374.4,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,28,EV2801D,15/06/21,89.6,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,100,EV2811D,15/06/21,320,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,117,EV2891D,25/06/21,374.4,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,117,EV2891D,25/06/21,374.4,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,10,EV2891D,25/06/21,32,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,117,EV2891D,25/06/21,374.4,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,17,EV2811D,15/06/21,54.4,
0009626246,20/10/20,446641,MINIBABY F32 640GX5,79,EV2811D,15/06/21,252.8,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,130,EV2801D,15/06/21,468,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,16,EV2791D,15/06/21,57.6,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,130,EV2801D,15/06/21,468,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,130,EV2801D,15/06/21,468,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,114,EV2801D,15/06/21,410.4,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,130,EV2801D,15/06/21,468,
0009626246,20/10/20,446642,MINIBABY F15 300GX12,130,EV2801D,15/06/21,468,
